id,pm2,pm10,deviceid,time
1343,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-17:00
1344,16,19,ecfbc857-b220-4801-844a-90b353af69e3,17-17:01
1269,16,20,ecfbc857-b220-4801-844a-90b353af69e3,17-15:25
1274,16,20,ecfbc857-b220-4801-844a-90b353af69e3,17-15:40
1286,16,20,ecfbc857-b220-4801-844a-90b353af69e3,17-15:49
1308,16,20,ecfbc857-b220-4801-844a-90b353af69e3,17-16:20
1333,16,20,ecfbc857-b220-4801-844a-90b353af69e3,17-16:43
1342,16,20,ecfbc857-b220-4801-844a-90b353af69e3,17-17:00
1345,16,20,ecfbc857-b220-4801-844a-90b353af69e3,17-17:03
1346,16,20,ecfbc857-b220-4801-844a-90b353af69e3,17-17:04
1281,17,20,ecfbc857-b220-4801-844a-90b353af69e3,17-15:44
1289,17,20,ecfbc857-b220-4801-844a-90b353af69e3,17-15:52
1295,17,20,ecfbc857-b220-4801-844a-90b353af69e3,17-15:56
1318,17,20,ecfbc857-b220-4801-844a-90b353af69e3,17-16:28
1319,17,20,ecfbc857-b220-4801-844a-90b353af69e3,17-16:28
1332,17,20,ecfbc857-b220-4801-844a-90b353af69e3,17-16:41
1335,17,20,ecfbc857-b220-4801-844a-90b353af69e3,17-16:47
1328,15,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:39
1329,15,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:39
1290,16,21,ecfbc857-b220-4801-844a-90b353af69e3,17-15:53
1314,16,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:25
1315,16,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:25
1340,16,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:57
1239,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-14:06
1240,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-14:26
1282,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-15:45
1292,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-15:54
1294,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-15:55
1298,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-15:58
1311,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:24
1312,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:24
1313,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:25
1326,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:35
1336,17,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:49
1238,18,21,ecfbc857-b220-4801-844a-90b353af69e3,17-13:46
1272,18,21,ecfbc857-b220-4801-844a-90b353af69e3,17-15:28
1293,18,21,ecfbc857-b220-4801-844a-90b353af69e3,17-15:55
1301,18,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:00
1305,18,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:18
1338,18,21,ecfbc857-b220-4801-844a-90b353af69e3,17-16:53
1327,16,22,ecfbc857-b220-4801-844a-90b353af69e3,17-16:37
1302,18,22,ecfbc857-b220-4801-844a-90b353af69e3,17-16:00
1347,18,22,ecfbc857-b220-4801-844a-90b353af69e3,17-17:04
1309,18,24,ecfbc857-b220-4801-844a-90b353af69e3,17-16:22
1310,18,24,ecfbc857-b220-4801-844a-90b353af69e3,17-16:23
1306,19,24,ecfbc857-b220-4801-844a-90b353af69e3,17-16:19
